,Track Name,Artist Name,Genre,Year,Date Added,BPM,ENERGY,DANCEABILITY,dB,LIVENESS,VALENCE,DURATION,ACOUSTICNESS,SPEECHINESS,POPULARITY
933,CTRL + ALT + DEL,Rêve,Other,2021,2021-10-04,120,76,78,-6,11,87,153,4,34,53
955,Toothpaste,Wacotron,Other,2021,2021-10-04,120,75,84,-6,26,59,176,0,29,46
1027,Brainfreeze,XVOTO,Other,2021,2021-10-04,155,65,57,-7,54,24,257,2,6,39
988,Truth Is,Stealth,Other,2021,2018-10-14,98,73,61,-4,9,55,188,7,6,37
1013,GEAUX,MK xyz,Other,2021,2021-10-04,98,70,94,-6,19,78,127,37,9,30
1016,Who's Your Love?,Orang Utan,Other,2021,2021-10-04,119,69,68,-6,18,74,161,3,16,42
1018,Talk Of the Town,Shay D,Other,2021,2021-10-04,140,68,80,-10,13,30,219,11,21,30
742,Believer,Crush Club,Other,2021,2021-10-04,120,85,74,-6,7,87,192,0,5,36
741,Feels Like Summer,Public Order,Other,2021,2021-10-04,96,85,52,-5,23,28,166,4,4,42
1110,The Hill,Hendrix Harris,Other,2021,2021-10-04,108,53,80,-8,17,23,162,10,7,43
1108,High Way,Shango SK,Other,2021,2021-10-04,130,54,62,-13,9,25,171,27,3,41
820,Last Chance,Casper Caan,Other,2021,2021-10-04,120,81,64,-5,12,40,254,30,4,47
1121,Two Seater,Willow Kayne,Other,2021,2021-10-04,98,49,78,-9,13,54,147,19,19,42
748,Work It Out,Nnena,Other,2020,2021-05-27,123,85,88,-6,6,85,159,3,32,34
778,Vipers,Dylan Fraser,Other,2020,2021-05-27,100,83,71,-4,14,61,199,22,7,41
908,Etcetera,Steam Down,Other,2020,2021-05-27,97,79,69,-10,11,28,279,0,7,40
970,Who Asked You,Nia Wyn,Other,2020,2021-05-27,77,74,48,-8,24,76,223,36,35,41
1015,Water,Naïka,Other,2020,2021-05-27,120,69,85,-6,9,95,113,6,7,49
1017,Westbrook (feat. Adz),Cole LC,Other,2020,2021-10-04,94,69,59,-6,29,23,166,13,35,42
1024,MIGHT DELETE LATER,LARRY PINK THE HUMAN,Other,2020,2021-05-27,121,66,66,-7,15,63,228,0,4,43
1051,been a minute,Leyma,Other,2020,2021-05-27,108,62,68,-6,8,75,184,29,5,45
1099,MOVES,PAV4N,Other,2020,2021-10-04,102,61,59,-5,13,25,174,18,34,30
698,Citizen X,Peel,Other,2020,2021-05-27,138,87,45,-5,15,9,199,0,3,32
690,Good Energy,Mike Sabath,Other,2020,2021-05-27,108,87,66,-5,15,40,220,1,5,44
1046,Guerreia,Don Elektron,Other,2019,2021-10-04,100,64,77,-8,8,70,134,8,35,12
645,Before The Moment's Gone,Child Of The Parish,Other,2019,2019-09-22,100,88,51,-5,6,76,241,0,4,41
739,Break the Discoteka,Don Elektron,Other,2019,2021-10-04,103,86,82,-5,6,59,179,1,12,10
751,Win,Koder,Other,2019,2021-05-27,132,84,92,-8,21,92,189,45,24,25
769,Toma,WOST,Other,2019,2021-10-04,110,84,85,-5,4,59,178,1,16,10
