Artist,Song,Game
070 Shake,Morrow,2021
Aitch,MICE,2021
Alfie Templeman,Wish I Was Younger,2021
"Anitta, Myke Towers, Cardi B",Me Gusta (with Cardi B & Myke Towers),2021
Biig Piig,Don't Turn Around,2021
Buju Banton,Unity,2021
"Carlos Sadness, Bomba Estero",Aloha,2021
Celeste,Stop This Flame,2021
Chloe Black,Sacrifice,2021
De Lux,Cool Up,2021
Domino Saints,BUYA,2021
"Dua Lipa, The Blessed Madonna",Love Is Religion (The Blessed Madonna Remix),2021
Dylan Fraser,Vipers,2021
"Everything Is Recorded, Infinite Coles, BERWYN",01:32AM / WALK ALONE,2021
Fireboy DML,Scatter,2021
Glass Animals,Heat Waves,2021
ICEKIID,ErruDumEllaHvad,2021
KAWALA,Ticket To Ride,2021
LA Priest,Beginning,2021
LARRY PINK THE HUMAN,MIGHT DELETE LATER,2021
Leyma,been a minute,2021
"Louis The Child, EARTHGANG",Big Love (with EARTHGANG),2021
Madame Ghandhi,Bad Habits,2021
Mike Sabath,Good Energy,2021
Nia Wyn,Who Asked You,2021
Nnena,Work It Out,2021
Oliver Malcolm,Switched Up,2021
Oscar Lang,Apple Juice,2021
박혜진 Park Hye Jin,Like this,2021
Royal Blood,Trouble's Coming,2021
"Steam Down, Afronaut Zu",Etcetera,2021
Still Woozy,Window,2021
Tame Impala,Is It True,2021
"tha Supreme, Dani Faiv",no14 - feat. Dani Faiv,2021
The Snuts,That's All It Is,2021
Zaia,SHADE,2021
Another Sky,The Cracks,2020
Apre,Come Down,2020
BJ the Chicago Kid,Feel the Vibe,2020
Buscabulla,Vamono,2020
Cautious Clay,Erase,2020
Child of the Parish,Before the Moment's Gone,2020
Colouring,Oh My God!,2020
Danay Suarez,La Razon del Equilibrio,2020
Dennis Lloyd,Wild West,2020
Dominic Fike,Phone Numbers,2020
Everyone You Know,She Don't Dance,2020
Fieh,Glu,2020
Flume,Running Back,2020
Foals,The Runner,2020
Friedberg,Go Wild,2020
Goldlink,Zulu Screams,2020
Half Alive,Runaway,2020
Hot Chip,Positive,2020
Jai Paul,He,2020
Janice,Hearts Will Bleed,2020
JB Scofield,Stretch It,2020
Jevon,Lil Ze,2020
Judah & The Lion,Why Did You Run?,2020
JYyllowL,Ozone,2020
Kamakaze x Massappeals,Last Night,2020
Kojey Radical,Where Do I Begin?,2020
Loyle Carner,Angel,2020
Major Lazer,Que Calor,2020
Masego,Big Girls,2020
Milky Chance,Fado,2020
MNDR,Save Me,2020
Obongjayer,Frens,2020
P Money,Where and When,2020
Pixx,Funsize,2020
Rosalia & Ozuna,"Yo x Ti, Tu x Mi",2020
Sampa the Great,OMG,2020
Skepta,Same Old Story,2020
Sofi Tukker,Swing,2020
Suzi Wu,Highway,2020
The Knocks & Kah-lo,Awa Ni,2020
The SLP,Favourites,2020
Tierra Whack,Unemployed,2020
Ttrruuces,I'm Alive,2020
Andreya Triana,Beautiful People,2019
Atomic Drum Assembly,Island Life,2019
Bakar,Big Dreams,2019
Bantu & Dr. Chaii,Jackie Chan,2019
Bas,Tribe feat. J. Cole,2019
BC Unidos,Take It Easy feat. U.S. Girls and Ledinsky,2019
Bearson,It's Not This feat. Lemaitre and Josh Pan,2019
Billie Eilish,you should see me in a crown,2019
Bob Moses,Heaven Only Knows,2019
Broods,Peach,2019
Bugzy Malone,Ordinary People,2019
Childish Gambino ,Feels Like Summer,2019
Confidence Man,Out the Window,2019
Courtney Barnett,City Looks Pretty,2019
Crystal Fighters,Another Level,2019
Death Cab for Cutie,Gold Rush,2019
Easy Life,Pockets,2019
Ghali,Habibi,2019
Gizmo Varillas & Baio,Losing You (Baio Remix),2019
Gorillaz,Sorcererz,2019
Hans Zimmer ft. Vince Staples,Champions League Remix,2019
Husky Loops feat. MEI & Count Counsellor,Everytime I Run,2019
Jacob Banks,Love Ain't Enough,2019
Jungle,Beat 54 (All Good Now),2019
Kojey Radical,Water with Mahalia & Swindle,2019
LADAMA,Porro Maracatu (TOY SELECTAH Remix),2019
Lao Ra,Pa'lante,2019
Logic,Warm It Up feat. Young Sinatra,2019
"LSD (Labrinth, Sia, Diplo)",Genius,2019
Mansionair,Violet City,2019
No/Me,Consistent,2019
NoMBe,Drama feat. Big Data,2019
Ocean Wisdom,Tom & Jerry,2019
Octavian,Lightning,2019
Peggy Gou,It Makes You Forget (Itgehane),2019
Sam Fender,Play God,2019
Stealth,Truth Is,2019
Stereo Honey,Where No One Knows Your Name,2019
SUN SILVA,Blue Light,2019
Tom Misch,"Good To Be Home feat. Loyle Carner, Barney Artist, Rebel Kleff",2019
Tove Styrke,Sway,2019
Wovoka Gentle,1000 Opera Singers Working In Starbucks,2019
Yolanda Be Cool,Musika feat. Kwanzaa Posse,2019
Young Fathers,Border Girl,2019
alt-J,Deadcrush,2018
Avelino (feat. Stormzy & Skepta),Energy,2018
Bad Sounds,Wages,2018
Baloji,L'Hiver Indien,2018
BORNS,Faded Heart,2018
Cut Copy,Standing In The Middle Of The Field (Radio Edit),2018
Django Django,Tic Tac Toe,2018
IDER,King Ruby,2018
Kimbra,On Top of the World,2018
Kovic,Drown,2018
Lorde,Supercut,2018
Mondo Cozmo,Automatic (New Edit),2018
Mura Masa,Helpline feat. Tom Tripp,2018
ODESZA,La Ciudad,2018
Off Bloom,Falcon Eye,2018
Oliver,Heart Attack feat. De La Soul,2018
Outsider,Miol Mor Mara,2018
Perfume Genius,Slip Away,2018
Phantoms,Throw It In The Fire,2018
Portugal. The Man,Live In The Moment,2018
RAC,Beautiful Game feat. St. Lucia,2018
Residente,Dagombas en Tamale,2018
Rex Orange County,Never Enough,2018
Run The Jewels,Mean Demeanor,2018
Sir Sly,&Run,2018
Slowdive,Star Roving,2018
Sneakbo feat. Giggs,Active,2018
Sofi Tukker,"Best Friend feat. NERVO, The Knocks, and Alisa UENO",2018
Superorganism,Something For Your M.I.N.D.,2018
Tash Sultana,Jungle,2018
Teme Tan,Ca Va Pas La Tete?,2018
The Amazons,Stay with Me,2018
The National,The System Only Dreams In Total Darkness,2018
The War On Drugs,Holding On,2018
The XX,Dangerous,2018
Tom Grennan,Found What I've Been Looking For,2018
Toothless,Sisyphus,2018
Vessels,Deflect The Light feat. The Flaming Lips,2018
Washed Out,Get Lost,2018
Appeals,Bayonne,2017
