Track Name,Artist Name,Genre,Year,Date Added,BPM,ENERGY,DANCEABILITY,dB,LIVENESS,VALENCE,DURATION,ACOUSTICNESS,SPEECHINESS,POPULARITY
Heat Waves,Glass Animals,gauze pop,2020,2021-05-27,81,53,76,-7,9,53,239,44,9,87
The Nights,Avicii,dance pop,2014,2018-10-14,126,84,53,-5,25,65,177,2,4,85
Rhinestone Eyes,Gorillaz,alternative hip hop,2010,2018-10-14,93,70,68,-6,5,85,200,9,3,80
Kids,MGMT,alternative dance,2007,2018-10-14,123,93,45,-4,36,17,303,0,7,77
Supermassive Black Hole,Muse,modern rock,2006,2018-10-14,120,92,67,-4,9,78,212,5,4,77
Oliver Twist,ArrDee,uk hip hop,2021,2021-10-04,140,81,73,-4,46,85,175,35,32,77
you should see me in a crown,Billie Eilish,electropop,2019,2018-10-14,150,53,68,-10,14,32,181,46,19,76
Song 2 - 2012 Remaster,Blur,alternative rock,1997,2018-10-14,130,79,67,-7,8,92,121,0,7,76
Location (feat. Burna Boy),Dave,uk hip hop,2019,2021-05-27,110,50,81,-6,10,55,241,27,30,76
seaside_demo,SEB,pop,2021,2021-10-04,95,82,71,-8,11,86,132,36,7,76
Blue World,Mac Miller,hip hop,2020,2021-05-27,85,55,74,-9,7,51,209,39,42,75
"Genius (feat. Sia, Diplo, and Labrinth)",Sia,australian dance,2019,2018-10-14,159,62,60,-5,12,56,214,8,17,74
Love Me Again,John Newman,pop,2013,2018-10-14,126,89,50,-5,10,21,240,0,4,74
On Top Of The World,Imagine Dragons,modern rock,2012,2018-10-14,100,92,63,-6,8,76,192,8,15,74
Human,The Killers,alternative rock,2008,2018-10-14,135,80,56,-8,9,58,245,0,6,74
Lifetime (with Ty Dolla $ign & 070 Shake),Swedish House Mafia,dance pop,2021,2021-10-04,100,72,59,-8,91,14,187,2,22,74
"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,2019-09-22,92,76,78,-3,14,58,201,46,23,73
Feels Like Summer,Childish Gambino,atl hip hop,2018,2018-10-14,166,60,55,-8,8,25,297,16,13,72
Young Folks,Peter Bjorn and John,alternative dance,2006,2018-10-14,138,81,70,-6,11,66,277,2,4,72
Phone Numbers,Dominic Fike,alternative pop rock,2019,2019-09-22,85,54,88,-6,8,78,147,24,21,72
Me Gusta (with Cardi B & Myke Towers),Anitta,funk carioca,2020,2021-05-27,110,60,91,-4,9,81,181,45,8,71
Blue Monday,New Order,art rock,1987,2018-10-14,130,65,76,-13,11,94,449,0,7,70
Town Called Malice,The Jam,mod revival,1982,2020-02-12,102,91,54,-9,7,78,173,0,9,70
The Difference,Flume,australian dance,2020,2021-05-27,160,87,56,-1,8,42,140,26,9,70
Tribe (with J. Cole),Bas,hip hop,2018,2018-10-14,179,59,76,-6,11,24,238,24,22,69
Mercy,Duffy,british soul,2008,2018-10-14,130,86,79,-4,13,96,220,27,3,69
Is It True,Tame Impala,australian psych,2020,2021-05-27,118,66,73,-5,13,66,239,0,3,69
Baianá,Bakermat,deep euro house,2020,2021-05-27,122,72,59,-7,54,47,181,0,7,69
Followers,AREA21,edm,2021,2021-10-04,145,80,56,-4,30,35,177,16,4,69
My Type,Saint Motel,la indie,2014,2018-10-14,118,90,60,-3,7,57,205,6,5,68
Youth,Glass Animals,gauze pop,2016,2018-10-14,96,72,65,-8,11,79,231,13,3,68
Deal With It (feat. Kelis),Ashnikko,alt z,2021,2021-10-04,83,69,71,-5,66,49,191,14,13,68
My Number,Foals,alternative dance,2013,2018-10-14,128,72,64,-9,62,81,239,2,4,67
Inner Light,Elderbrook,house,2021,2021-10-04,121,71,65,-8,8,13,258,0,4,67
Tu nicht so,badmómzjay,frauenrap,2021,2021-10-04,155,56,83,-8,9,78,155,8,7,67
Princess Cuts (feat. Young T & Bugsey),Headie One,uk hip hop,2020,2021-10-04,101,60,58,-7,5,89,185,20,32,67
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Pitbull,dance pop,2014,2021-10-09,125,94,59,-4,13,57,223,1,6,67
Supercut,Lorde,art pop,2017,2018-10-14,125,44,56,-10,8,15,278,22,5,66
Shelter,Porter Robinson,complextro,2016,2018-10-14,200,80,28,-4,18,26,219,0,6,66
Welcome To Jamrock,Damian Marley,reggae,2005,2018-10-14,77,66,84,-7,45,75,213,2,34,66
Window,Still Woozy,bedroom pop,2020,2021-05-27,91,48,71,-9,28,67,139,44,20,66
Omen - Radio Edit,Disclosure,house,2015,2018-10-14,106,79,67,-5,36,62,197,12,14,65
Way down We Go,KALEO,icelandic indie,2015,2018-10-14,82,58,59,-6,8,26,220,61,5,65
Big City Life,Mattafix,reggae fusion,2005,2018-10-14,174,62,69,-9,9,73,241,2,9,65
