Track Name, Artist Name, Album Name,Playlist Name, Type, ISRC,FIFA Edition
Island Life,Atomic Drum Assembly,Atomic Drum Assembly,FIFA,Playlist track,UKHAV1800004,
Big Dreams,Bakar,Badkid,FIFA,Playlist track,TCACW1763006,
Jackie Chan,Bantu,Jackie Chan,FIFA,Playlist track,US23A1500862,
Tribe (with J. Cole),Bas,Milky Way,FIFA,Playlist track,USUM71810356,
Take It Easy (feat. U.S. Girls & Ledinsky),BC Unidos,Otro Mundo Es Posible,FIFA,Playlist track,SEBGA1800294,
It's Not This,Bearson,It's Not This,FIFA,Playlist track,USUS11800258,
you should see me in a crown,Billie Eilish,you should see me in a crown,FIFA,Playlist track,USUM71810049,
Heaven Only Knows,Bob Moses,Back Down,FIFA,Playlist track,GBCEL1800283,
Peach,BROODS,Peach,FIFA,Playlist track,USAT21810518,
Ordinary People (feat. JP Cooper),Bugzy Malone,B. Inspired,FIFA,Playlist track,UKJM21800014,
Another Level,Crystal Fighters,Another Level,FIFA,Playlist track,GBAHT1800521,
Feels Like Summer,Childish Gambino,Summer Pack,FIFA,Playlist track,USRC11802773,
Out the Window,Confidence Man,Confident Music for Confident People,FIFA,Playlist track,AUZEI1700011,
City Looks Pretty,Courtney Barnett,Tell Me How You Really Feel,FIFA,Playlist track,GBX721700210,
Gold Rush,Death Cab for Cutie,Gold Rush,FIFA,Playlist track,USAT21802563,
Pockets,easy life,Pockets,FIFA,Playlist track,GBGCA1700391,
Top Boy,Eyez,Square One,FIFA,Playlist track,GBLFP1804999,
Habibi,Ghali,Album,FIFA,Playlist track,IT4U11700012,
Sorcererz,Gorillaz,The Now Now,FIFA,Playlist track,GBAYE1800411,
Everytime I Run,Husky Loops,Everytime I Run,FIFA,Playlist track,QM6MZ1821803,
Love Ain't Enough,Jacob Banks,Love Ain't Enough,FIFA,Playlist track,USUM71708186,
Water (with Mahalia),Kojey Radical,Water,FIFA,Playlist track,QM4TW1876302,
Porro Maracatu - Toy Selectah Remix,LADAMA,Porro Maracatu (Toy Selectah Remix),FIFA,Playlist track,US6DR1802626,
Pa'lante,Lao Ra,Pa'lante,FIFA,Playlist track,GBARL1801035,
Warm It Up,Logic,Bobby Tarantino II,FIFA,Playlist track,USUM71802815,
Violet City,Mansionair,Violet City,FIFA,Playlist track,USYAH1700239,
Consistent,No/Me,Consistent,FIFA,Playlist track,USUM71813500,
Drama (feat. Big Data),NoMBe,They Might've Even Loved Me,FIFA,Playlist track,TCADL1865226,
Tom & Jerry,Ocean Wisdom,Wizville,FIFA,Playlist track,GB6ZW1800012,
Play God,Sam Fender,Play God,FIFA,Playlist track,GBKPL1778702,
Genius,Sia,Genius,FIFA,Playlist track,USQX91800798,
Truth Is,Stealth,Truth Is,FIFA,Playlist track,USUS11800253,
Where No One Knows Your Name,Stereo Honey,Where No One Knows Your Name,FIFA,Playlist track,GBLFP1705969,
Blue Light,SUN SILVA,Blue Light,FIFA,Playlist track,UKQD41800001,
Run Wild,Thutmose,Run Wild,FIFA,Playlist track,TCADP1872733,
Sway,Tove Styrke,Sway,FIFA,Playlist track,SEBGA1800766,
I'll Come Find You,True Ripper,True Ripper,FIFA,Playlist track,QM4TW1843311,
Musika,Yolanda Be Cool,Musika,FIFA,Playlist track,AUDCB1701137,
Border Girl,Young Fathers,Cocoa Sugar,FIFA,Playlist track,GBCFB1700590,
"1,000 Opera Singers Working in Starbucks - Radio Edit",Voka Gentle,"1,000 Opera Singers Working in Starbucks (Radio Edit)",FIFA,Playlist track,QM6N21813745,
Deadcrush,alt-J,RELAXER,FIFA,Playlist track,GB5KW1700460,
Energy,Avelino,Energy,FIFA,Playlist track,QM4TW1759708,
Wages - PHRESSSH Mix,Bad Sounds,PHRESSSH - EP,FIFA,Playlist track,GBEPN1600017,
L'Hiver Indien - Radio Edit,Baloji,L'Hiver Indien (Radio Edit),FIFA,Playlist track,GBBRP1771801,
Faded Heart,BØRNS,Faded Heart,FIFA,Playlist track,USUM71705009,
Standing In The Middle Of The Field,Cut Copy,Standing In The Middle Of The Field,FIFA,Playlist track,USUG11701010,
Tic Tac Toe,Django Django,Tic Tac Toe,FIFA,Playlist track,GBMVH1701210,
King Ruby,IDER,King Ruby,FIFA,Playlist track,TCACR1674059,
Caxambu,Karol Conká,Batuk Freak (Instrumentals),FIFA,Playlist track,GBCLQ1300024,
