"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3O8H3HOCwGiae4zMMFpD0h","Bodyrock","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:1ZFjvEN3C2J1Q1xVhu2YaC","Play","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","1999","https://i.scdn.co/image/ab67616d0000b27328b5ffb477f5dc8cf9b3c6a9","1","7","216426","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:72aCha2Meq7txnk451hz7k","Helicopter","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","spotify:album:4KeTvCYCel3Ky58FirciWp","Silent Alarm","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","2005-01-01","https://i.scdn.co/image/ab67616d0000b273ef8d4b16fe9b2a83891ae105","1","2","220173","https://p.scdn.co/mp3-preview/51e07b95dba9e3620995858b01ee15b74fd021d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:5nbVi62Tuwj465QksHK7GM","Red Morning Light","spotify:artist:2qk9voo8llSGYcZ6xrBzKx","Kings of Leon","spotify:album:43DNPjzCFuRfQRJcoCg9Ec","Youth And Young Manhood","spotify:artist:2qk9voo8llSGYcZ6xrBzKx","Kings of Leon","2003-08-19","https://i.scdn.co/image/ab67616d0000b273ea475b4a7f54cfa6b2e6ab4d","1","1","179426","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:6uh5EIr5yiHqOuTlD0cDmS","Escapee","spotify:artist:60eT7q88iLWKnuSXed1AGr","Architecture In Helsinki","spotify:album:5IjzYQHXdxVUPeTs325yrK","Moment Bends","spotify:artist:60eT7q88iLWKnuSXed1AGr","Architecture In Helsinki","2011-04-11","https://i.scdn.co/image/ab67616d0000b27378865fddd372139961f351b5","1","2","178146","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4KByCMUzfWmvXAO7ILudGb","L.S.F.","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:1bal8timtSrmUPfQNeUFH0","Kasabian","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2004-09-04","https://i.scdn.co/image/ab67616d0000b2731db4ff9cdeeb1e18218e9b5b","1","6","197600","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:7hpFYWL3cw5m4y70cce7Zb","We Used To Be Friends","spotify:artist:7siPLyFwRFYQkKgWKJ5Sod","The Dandy Warhols","spotify:album:2SS8nVmmgJqJhRuYGboIOx","Welcome To The Monkey House","spotify:artist:7siPLyFwRFYQkKgWKJ5Sod","The Dandy Warhols","2003-01-01","https://i.scdn.co/image/ab67616d0000b2731dd9303a64f5e6205f4a562f","1","2","199960","https://p.scdn.co/mp3-preview/82e875c326b1e4a11db589fbabae7e04a1045b02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4fx7FB9fD76i3vs1QkFDAd","Guten Tag","spotify:artist:3jiOHVFdVQjbSDVeC7RgY7","Wir Sind Helden","spotify:album:36BN0BldWYmi6mJQ0yHd2v","Wir Sind Helden EP","spotify:artist:3jiOHVFdVQjbSDVeC7RgY7","Wir Sind Helden","2006-01-01","https://i.scdn.co/image/ab67616d0000b273c92409de4d4aedd0a1c0ef6d","1","1","217066","https://p.scdn.co/mp3-preview/d8e8fd103ae7580854d8d1baf4b5b1b3ab0775ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:1Hd8LnDfCZltoUvuwDl6ZC","Rise To The Challenge","spotify:artist:2EeUsNnv2BcVIGhBZ5SV8z","Asian Dub Foundation","spotify:album:5v8lBCWTqHrCy5b0DDaRtV","Enemy Of The Enemy (Remastered)","spotify:artist:2EeUsNnv2BcVIGhBZ5SV8z","Asian Dub Foundation","2003","https://i.scdn.co/image/ab67616d0000b273c011ea783fb5bcabbc0bacb0","1","2","265000","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:44muZiVSznL0U8NOdPhHWK","Rude Boy Rock","spotify:artist:7bbNDyqoHKXXk7GYxigXa1","Lionrock","spotify:album:3SRhgB7d4b6sUpJ7QabN1O","City Delirious","spotify:artist:7bbNDyqoHKXXk7GYxigXa1","Lionrock","1998-06-02","https://i.scdn.co/image/ab67616d0000b273e42b29e7dc3066b4051abcb5","1","2","290600","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4OMNFPTvpFOPI8JGHl8SCn","The Rockafeller Skank","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:74IAJ1pjsSHK0acSmm8J8K","You've Come A Long Way Baby 10th Anniversary Edition","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2008-11-30","https://i.scdn.co/image/ab67616d0000b27377fb687a0f5c35376cd9306c","1","2","413880","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
