"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4Vf3Y7Ys3U66OuCmZDNZ7z","U & Me (feat. Caitlyn Scarlett)","spotify:artist:0INAMzrXUrR5J1nWihr6me, spotify:artist:1Bztk1lPSvwiBJCujObyxU","84 Controller, Caitlyn Scarlett","spotify:album:4YVyVp2Q4Q0qonDR3Emwcd","U & Me (feat. Caitlyn Scarlett)","spotify:artist:0INAMzrXUrR5J1nWihr6me, spotify:artist:1Bztk1lPSvwiBJCujObyxU","84 Controller, Caitlyn Scarlett","2021-03-26","https://i.scdn.co/image/ab67616d0000b273a396059da3c08d5692c5758a","1","1","212286","https://p.scdn.co/mp3-preview/2aac10b50371144913aa5d2b1d498e982c22d237?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:1Gr57mnG8D5S2DRvnBPEaT","Vibes on Tap","spotify:artist:6EqFMCnVGBRNmwPlk2f3Uc, spotify:artist:7Ecng98JLorpsVdazNr0Ry, spotify:artist:6WjX4pepHwXa85B9KMk0PY","AC Slater, Darkzy, P Money","spotify:album:35SzRaDCN9sThUGJwWstIH","Vibes on Tap","spotify:artist:6EqFMCnVGBRNmwPlk2f3Uc, spotify:artist:7Ecng98JLorpsVdazNr0Ry, spotify:artist:6WjX4pepHwXa85B9KMk0PY","AC Slater, Darkzy, P Money","2020-12-11","https://i.scdn.co/image/ab67616d0000b2730278dc1eb9185ad758e5428e","1","1","252000","https://p.scdn.co/mp3-preview/41d16de5c4ca5baf7e50c829abdaeae7c4f4a2b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:4UEHa4NafpdKahqi7XvLiq","Party Round My Place (feat. Avelino & Toddla T)","spotify:artist:2PJEagPIxaBugeMjIyKVXF, spotify:artist:039zhJoEkboZ8Ii6K40Fb6, spotify:artist:3l1C23aRp4lfkBK3lLAp2m","Aitch, Avelino, Toddla T","spotify:album:3Ff7dtn7lRUJnfxS0jvyKm","Party Round My Place (feat. Avelino & Toddla T)","spotify:artist:2PJEagPIxaBugeMjIyKVXF, spotify:artist:039zhJoEkboZ8Ii6K40Fb6, spotify:artist:3l1C23aRp4lfkBK3lLAp2m","Aitch, Avelino, Toddla T","2021-09-23","https://i.scdn.co/image/ab67616d0000b27373a1271feee2cc525da1fa35","1","1","231000","https://p.scdn.co/mp3-preview/4f82e4db6e7d824cce60086655d64babfd689601?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:33EGYJLLwz56YIP5Ex9VKs","West Ten","spotify:artist:4Xi6LSfFqv26XgP9NKN26U, spotify:artist:1MIVXf74SZHmTIp4V4paH4","AJ Tracey, Mabel","spotify:album:0dAkpUTJPHsfPlKJ10ZYyS","West Ten","spotify:artist:4Xi6LSfFqv26XgP9NKN26U, spotify:artist:1MIVXf74SZHmTIp4V4paH4","AJ Tracey, Mabel","2020-07-02","https://i.scdn.co/image/ab67616d0000b2735a4111d1fdeb9ca9d544a3ce","1","1","213692","https://p.scdn.co/mp3-preview/364e7e285c40b69328036310cc5dcb66410448e7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:4xCCtu2AnAKUWspcdb4Ojy","Body Pump (Sammy Virji Remix)","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE, spotify:artist:1GuqTQbuixFHD6eBkFwVcb","Aluna, Sammy Virji","spotify:album:2oDT9uQaZEY0v1suFP7hWs","Body Pump (Sammy Virji Remix)","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE, spotify:artist:1GuqTQbuixFHD6eBkFwVcb","Aluna, Sammy Virji","2020-10-12","https://i.scdn.co/image/ab67616d0000b27389fdbfb85a0588ad16ad64c1","1","1","263000","https://p.scdn.co/mp3-preview/7741bd1d4c0e7d29ce277c3940d4bc710665c6f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:45unoeMLynJT6gKXRma5IO","Mixer - Preditah Remix","spotify:artist:0tbeZu9lv8YEKSQ9tZSslu, spotify:artist:5qYCZ5FQuzZSjOnesvuYiD","Amber Mark, Preditah","spotify:album:1oZki0wLUGwTv1itJx04xo","Mixer (Preditah Remix)","spotify:artist:0tbeZu9lv8YEKSQ9tZSslu","Amber Mark","2019-04-26","https://i.scdn.co/image/ab67616d0000b273cafbe08d8c4932f0a7de0ba3","1","1","252246","https://p.scdn.co/mp3-preview/d0c8a3414429cd7d8303435fca5a535739a47820?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:5sPoju3oZHg9Wq5KXxBH3a","Followers","spotify:artist:76YIoWHp3Ri3q1ocOPtFzp, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3XcCT5MPlQPWFTJyzXbfuX","AREA21, Martin Garrix, Maejor","spotify:album:3YRKOtLYysmk04YlzvpnU3","Followers","spotify:artist:76YIoWHp3Ri3q1ocOPtFzp, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3XcCT5MPlQPWFTJyzXbfuX","AREA21, Martin Garrix, Maejor","2021-09-17","https://i.scdn.co/image/ab67616d0000b27317ed0930fbee767857aea8bf","1","1","177206","https://p.scdn.co/mp3-preview/57304be712fc8d4769f06a9654af8675029a7f5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:2vonFHQE4R9VsEktEH6kNQ","Out Of Lives (feat. Charlotte Haining)","spotify:artist:5fSYYJ4qdUSyvj2q0YdHEF, spotify:artist:2XRjIwgD0UiJXtx7Xzfy7w","Ares Carter, Charlotte Haining","spotify:album:4vcpZ5tZDmXUcSZAVkOke5","Out Of Lives (feat. Charlotte Haining)","spotify:artist:5fSYYJ4qdUSyvj2q0YdHEF, spotify:artist:2XRjIwgD0UiJXtx7Xzfy7w","Ares Carter, Charlotte Haining","2021-09-17","https://i.scdn.co/image/ab67616d0000b2739681b9f750a0b9e75dbfddd4","1","1","166451","https://p.scdn.co/mp3-preview/7d94ab6ef79c348df9d35359585dc6f5103992ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:7p84S1jeo6OcLMg9tJQwnt","Step It Up (feat. Sharlene Hector) - Zach Witness Remix","spotify:artist:3cQA9WH8liZfeja1DxcDYE, spotify:artist:1TRFAJu3Cw64APToZaGk9D, spotify:artist:5n8KJvIFfPlC0HiDWVxBnX, spotify:artist:0u6h31HopxUAum6iOTVL17","Armand Van Helden, Riva Starr, Sharlene Hector, Zach Witness","spotify:album:57IxZp07SzD1JQ5zZEMtfA","Step It Up (feat. Sharlene Hector) [Zach Witness Remix]","spotify:artist:3cQA9WH8liZfeja1DxcDYE, spotify:artist:1TRFAJu3Cw64APToZaGk9D, spotify:artist:0u6h31HopxUAum6iOTVL17","Armand Van Helden, Riva Starr, Zach Witness","2021-01-15","https://i.scdn.co/image/ab67616d0000b27383f06f23bc4dc641a16c0211","1","1","356347","https://p.scdn.co/mp3-preview/233386a6e8a974129232802fd7a50253c7b16cd0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:hcg.12","2021-10-04T02:59:28Z"
"spotify:track:6mSzsSdu0CWIV70jEjWMhI","Oliver Twist","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","spotify:album:6d8MlD2NJyzLtnRSprliO5","Oliver Twist","spotify:artist:7m0BsF0t3K9WQFgKoPejfk","ArrDee","2021-06-03","https://i.scdn.co/image/ab67616d0000b273bf82b9861e8ccdeba944137e","1","1","174857","https://p.scdn.co/mp3-preview/ebd5aa76f2226c65c6a99935b86312a508fa1a73?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:hcg.12","2021-10-04T02:59:28Z"
